accuracy,decision_threshold,event_frac_thresh,extra_features,f1,include_track_ids,iou_thresh,label_mode,model,model_type,param_clf__C,param_colsample_bytree,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_num_leaves,param_scale_pos_weight,param_subsample,pr_auc,precision,pred_version,recall,roc_auc,run_ts,seed,step_size,threshold,tp_count_thresh,tuned,val_frac,window_size
0.8762446657183499,0.5,,,0.6266094420600858,False,0.1,tp_count,xgb,tree,,1.0,0.05,4.0,,,,300.0,,5.0,0.6,0.615637903039637,0.5177304964539007,v0,0.7934782608695652,0.9296591475129864,2025-12-14 16:04:05.935049,42,30,0.05,2.0,True,0.3,60
0.8933143669985776,0.5,,,0.6305418719211823,False,0.1,tp_count,lgbm,tree,,1.0,0.02,,,,,500.0,31.0,,1.0,0.6281366604305597,0.5765765765765766,v0,0.6956521739130435,0.9326122536113284,2025-12-14 16:04:05.935049,42,30,0.05,2.0,True,0.3,60
0.8069852941176471,0.5,,,0.5205479452054794,False,0.1,tp_count,logreg,tree,0.01,,,,,,,,,,,0.4428061449761853,0.3931034482758621,v0,0.7702702702702703,0.879269695227142,2025-12-14 16:05:11.872841,42,45,0.5,2.0,True,0.3,90
0.8897058823529411,0.5,,,0.6590909090909091,False,0.1,tp_count,rf,tree,,,,5.0,log2,1.0,2.0,200.0,,,,0.6315593926304538,0.5686274509803921,v0,0.7837837837837838,0.9343588269120184,2025-12-14 16:05:11.872841,42,45,0.45,2.0,True,0.3,90
0.8768382352941176,0.5,,,0.6417112299465241,False,0.1,tp_count,xgb,tree,,1.0,0.05,5.0,,,,200.0,,7.0,0.6,0.6311479623268792,0.5309734513274337,v0,0.8108108108108109,0.9280333525014376,2025-12-14 16:05:11.872841,42,45,0.05,2.0,True,0.3,90
0.8713235294117647,0.5,,,0.6022727272727273,False,0.1,tp_count,lgbm,tree,,0.8,0.02,,,,,300.0,15.0,,0.6,0.6305111195767223,0.5196078431372549,v0,0.7162162162162162,0.925848188614146,2025-12-14 16:05:11.872841,42,45,0.1,2.0,True,0.3,90
0.8066666666666666,0.5,,,0.5139664804469274,False,0.1,tp_count,logreg,tree,0.01,,,,,,,,,,,0.4046801253281102,0.3865546218487395,v0,0.7666666666666667,0.8672649572649571,2025-12-14 16:06:10.441215,42,60,0.5,2.0,True,0.3,120
0.8955555555555555,0.5,,,0.6802721088435374,False,0.1,tp_count,rf,tree,,,,5.0,log2,1.0,2.0,200.0,,,,0.61970213007811,0.5747126436781609,v0,0.8333333333333334,0.9390598290598292,2025-12-14 16:06:10.441215,42,60,0.4,2.0,True,0.3,120
0.8488888888888889,0.5,,,0.6179775280898876,False,0.1,tp_count,xgb,tree,,0.8,0.01,3.0,,,,500.0,,7.0,0.6,0.6118873145807984,0.4661016949152542,v0,0.9166666666666666,0.932051282051282,2025-12-14 16:06:10.441215,42,60,0.1,2.0,True,0.3,120
0.9022222222222224,0.5,,,0.65625,False,0.1,tp_count,lgbm,tree,,0.8,0.01,,,,,200.0,15.0,,0.6,0.654020627285324,0.6176470588235294,v0,0.7,0.929017094017094,2025-12-14 16:06:10.441215,42,60,0.4,2.0,True,0.3,120
